,estilo,artist_url,song_url,lyrics
0,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/el_cumple_de_tu_hermana,"Pensar que la tuve en brazos<br>Cuando era una bebita<br>Y ahora que tiene quince<br>Quiero que eso se repita<br>Yo me encargo del asado<br>Del vino y de la cerveza<br>Y entre todos los muchachos<br>Le hacemos una linda fiesta<br>Le vamos a hacer la fiesta a tu hermana<br>Le vamos a pasar bomba con tu hermana<br>Trajimos una cosita pa tu hermana<br>Hay que loca va a quedar<br>Le vamos a hacer la fiesta a tu hermana<br>Le vamos a pasar bomba con tu hermana<br>Trajimos una velita pa tu hermana<br>Apaguen ya las luces<br>Quien la quiere soplar , quien la quiere soplar<br>Quien la quiere soplar , soplar, soplar<br>Se repite el intro<br>Pensar que colgaba fotos<br>De Mickey y del patito<br>Y ahora cuelga mis fotos<br>Las de Pablo y el pibito<br>Le vamos a hacer un regalo<br>Con el flaco y el Anibal<br>Pa que no caigan las medias<br>Le compramo un portaliga<br>Le vamo a hacer la fiesta......."
1,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/himno_cumbiero,"Aca llegamos Altos Cumbieros<br>pinto la locura y el descontrol<br>Aca llegamos Altos Cumbieros<br>pinto la locura y el descontrol<br>Aca llegamos Altos Cumbieros<br>pinto la locura y el descontrol<br>Traemos cumbia, pa' que la gozes<br>pero nos falta, un poco de alcohol...<br>Todos los borracho a bailar<br>Ahora las chicas mueven la cola,<br>y nosotros vamo a tocar...<br>Traemos cumbia, pa' que la gozes<br>y un poco de salsa para bailar...<br>salsiando...<br>pero ya fue...<br>y como siempre    los Altos Cumbieros...<br>Aca llegamos Altos Cumbieros<br>pinto la locura y el descontrol...y el descontrol...<br>Aca llegamos Altos Cumbieros<br>pinto la locura, alto cumbiero soy...<br>Aca llegamos Altos Cumbieros<br>pinto la locura y el descontrol<br>Traemos cumbia, pa' que la gozes<br>pero nos falta, un poco de alcohol...<br>Ahora las chicas mueven la cola,<br>y nosotros vamo a tocar...<br>Traemos cumbia, pa' que la gozes<br>y un poco de salsa para bailar...<br>salsiando...<br>pero ya fue...<br>Aca llegamos Altos Cumbieros<br>pinto la locura y el descontrol...y el descontrol...<br>Aca llegamos Altos Cumbieros<br>pinto la locura, alto cumbiero soy...<br>Aca llegamos Altos Cumbieros<br>pinto la locura, alto cumbiero soyyyyyyyyy...........<br>Querias mas...<br>Pero ya fueeeee....."
2,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/la_ventanita,"Desde que me dejaste<br>En mi vida empezo la diversion<br>desde que me dejaste<br>De joda en joda voy llevando mi cancion<br>desde que me dejaste,<br>En mi vida empezo la diversion<br>desde que me dejaste,<br>la birra sigue siendo mi pasion<br>Ahora voy a la cancha<br>Salgo con mis amigos<br>No veo mas a tu vieja<br>Ya no tengo mas penas<br>Ahora voy a la cancha<br>Salgo con mis amigos<br>No veo mas a tu vieja<br>Ya no tengo mas penas<br>Esta piola parada en la esquina<br>Siempre de gira con todas las pibas<br>Seguí tu vida con ese ortiva<br>Rompe las fotos de nuestros dias<br>Altos Cumbieros...Made in Magenta!!"
3,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/ni_un_segundo_dude,"Señoria yo vengo a confesarle toda,<br>toda la verdad<br>porque ni el licor me a echo olvidar<br>y mi me tortura esta amarga verdad<br>TODO IGUAL<br>señoria tiene que comprenderme<br>yo no, no supe que hacer<br>se rieron de mi quizas sin pensar<br>el valor que ellos tenian para mi<br>mi hermano mayor que vino a cenar,<br>mis hijos no estaban , no iba a imaginar<br>me hicieron tomar mareado dormi<br>desperte y en una habitacion yo los vi<br>ni un segundo dude y del cajon saque mi arma<br>ni un segundo dude y los mate sin decir nada<br>ni nada<br>se rieron de mi con su traición que ni esperaba<br>se rieron de mi no me arrepiento yo de nada<br>de nada<br>de repente llegaron mis hijos y me preguntaron<br>¿donde esta mama?<br>yo les dije mama se a marchado<br>no me perdonen no importa<br>ella no volveraaaa"
4,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/no_voy_a_llorar,"Yo lo presenti<br>que al poco tiempo tu quisieras terminar<br>dios lo quiso asi<br>entonces no hay problema no voy a llorar<br>que sera de mi<br>si acaso soy el prisionero de un error<br>que vivio de ti<br>y que tu solo le rompiste el corazon<br>y no voy a llorar cuando te vea partir<br>tratare de borrar<br>esa desilucion<br>que dejaras en mi<br>y te juro por dios<br>que no voy a llorar<br>si te queres marchar<br>yo no voy a impedir<br>tus sueños de volar<br>a un mundo mas feliz<br>con nubes de cristal<br>dejando lo que yo<br>guardaba para ti<br>me habian dicho que el amor era asi<br>yo no se porque no quise escuchar<br>hoy te alejas y me toca vivir<br>la experiencia mas amarga quizas<br>me habian dicho que el amor era asi<br>y hoy me encuentro que es la triste verdad<br>que el querer esta amarrado a sufrir<br>y el sufrir envuelto en la soledad...<br>SALUDO2 PARA TODOS AGUANTE LA CUMBIA, ROSARIO CENTRAL,<br>MI NOVIA,Y POR SOBRE TODO, LOS FALSOS...<br>PARA LAS CHICAS LES DEJO EL MAIL DE UN AMIGO,<br>ANKER_ROCK03@HOTMAIL.COM"
5,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/nunca_mas,"He tratado de olvidarme de ti<br>y de esos momentos de amor,<br>quiero q el tiempo me ayude a olvidar,<br>aquella vida q te supe dar.<br>Cada palabra juraba pasion,<br>vuelvo a sentir q me falta tu amor,<br>quiero q el tiempo me ayude a olvidar,<br>aquella vida q yo te supe dar.<br>Que nunca mas yo te vuelva a encontrar<br>y con el tiempo te pueda olvidar (bis)<br>Nunca mas, no quiero verte nunca mas<br>has dejado un dolor en mi corazon<br>y ya no quiero verte mas.<br>Nunca mas, no quiero verte nunca mas<br>has dejado un dolor en mi corazon<br>y ya no quiero verte mas, nunca mas."
6,gru,https://acordes.lacuerda.net/altos_cumbieros/,https://acordes.lacuerda.net/altos_cumbieros/ruperta,Anoche fuimo a cantarle<br>a nuestra querida Ruperta<br>como estábamos en pedo no nos quiso abrir la puerta<br>Anoche fuimo a cantarle<br>a nuestra querida Ruperta<br>como estábamos en pedo no nos quiso abrir la puerta<br>Ruperta abrinos la puerta<br>Aay Ruperta queremos tocar<br>Aay Ruperta no te hagas la gata<br>Aay Ruperta que te va a gustar<br>Ruperta abrinos la puerta<br>Aay Ruperta no te hagas rogar<br>Aay Ruperta no te hagas la gata<br>Aay Ruperta que te va a gustar
7,gru,https://acordes.lacuerda.net/dinos/,https://acordes.lacuerda.net/dinos/amor,"Amor, no me digas que te vas<br>Sabes bien que para mí<br>Eres mi vida<br>Amor, no me vallas a dejar<br>Porque yo podría morir<br>Si tú me olvidas<br>No me vayas a abandonar<br>Amor, no mi amor<br>Yo no quiero la soledad<br>No lo podría soportar<br>Amor no me quites esa luz<br>Porque solo eres tú<br>La razón de mi existir<br>Eres mi vida<br>Amor no le quites la ilusión<br>a este pobre corazón<br>que te quiere más y más<br>cada día<br>Amor.<br>No me vayas a  abandonar.."
8,gru,https://acordes.lacuerda.net/dinos/,https://acordes.lacuerda.net/dinos/con_las_alas_rotas,"Con las alas rotas<br>Llegaste a mi lado<br>Con las alas rotas<br>Y el corazon, destrozado<br>Me pedias cariño<br>Llorabas como un niño<br>Un amor maldito<br>Te dejo , de lado<br>Con las alas rotas<br>Llegaste a mi lado<br>Y yo ingenuo tonto<br>Te di mis cuidadoooos<br>Cure cada herida<br>Con amor del bueno<br>Y quedaron tus alas listaaas<br>Para volar en otro cielooo<br>De que sirve dar amooor<br>Si al final te dejan<br>Con el alma herida<br>Con la fe perdida<br>Y sin ganas, nadita de ganas<br>De volve-er a amar<br>De que sirve dar amooor<br>Si al final te dejan<br>Con las alas rotas<br>Todititas rotas sin poder volaaaaar.<br>Con las alas rotas<br>Llegaste a mi lado y yo ingenuo tonto<br>Te di mis cuidadoooos<br>Cure cada herida<br>Con amor del bueno<br>Y quedaron tus alas listaaaas<br>Para volar en otro cieeeeloooo.<br>De que sirve dar amooor<br>Si al final te dejan<br>Con el alma herida<br>Con la fe perdida<br>Y sin ganas, nadita de ganas<br>De volve-er a amaaaar.<br>De que sirve dar amooor<br>Si al final te dejan<br>Con las alas rotas<br>Todititas rotas sin poder volaaaar.<br>De que sirve dar amooor<br>Si al final te dejan<br>Con el alma herida<br>Con la fe perdida<br>Y sin ganas, nadita de ganas<br>De volve-er a amar<br>De que sirve dar amoooor<br>Si al final te dejan<br>Con las alas rotas<br>Todititas rotaaaaaaas<br>Sin poder volaaaar."
9,gru,https://acordes.lacuerda.net/dinos/,https://acordes.lacuerda.net/dinos/demasiado_tarde,Si me hubieras oído cuando te rogaba migajas de amor<br>Si te hubieras quedado para no arrojarme este triste dolor<br>Por no haber comprendido el gran sacrificio de verte feliz<br>Que mis manos jamás se cansaron y todo te di<br>Fue tan grande y tan fuerte esta herida<br>El vacío de tu despedida que aunque quieras volver a mi vida<br>Ya no puede ser<br>Demasiado tarde has vuelto a mí demasiado tarde para ti<br>que no hueles que hay otro perfume que endulza mi piel<br>Demasiado tarde has vuelto a mí demasiado tarde para ti<br>El lugar que era tuyo y dejaste un anochecer ocupa otra mujer<br>Despues se repite<br>Contacto:<br>https://www.facebook.com/maxiigomezz
